geo_id,total_pop,male_pop,female_pop,median_age,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,not_hispanic_pop,commuters_by_public_transportation,households,median_income,income_per_capita,housing_units,median_rent,percent_income_spent_on_rent,commuters_16_over,commute_less_10_mins,commute_35_44_mins,commute_60_more_mins,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_45_59_mins,aggregate_travel_time_to_work,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,employed_pop,unemployed_pop,not_in_labor_force,pop_in_labor_force,bachelors_degree_or_higher_25_64,commuters_by_bus,commuters_by_subway_or_elevated,commuters_by_carpool,group_quarters,households_public_asst_or_food_stamps,no_cars,pop_determined_poverty_status,poverty,gini_index,county,city,zip_code,internal_point_lat,internal_point_lon,area_land_meters,area_water_meters
11365,44983,21359,23624,40.8,11388,3347,20070,8866,104,380,807,36117,7755,15571,66483,30662,16238,1463,35.2,20051,615,1492,7405,1139,1754,1395,441,3523,2287,926415,856,659,553,701,766,847,658,782,389,869,1583,2109,1320,1119,1437,923,21162,2110,13347,23272,9917,2826,4669,2204,64,1587,2932,44889,5330,0.4474,"Bronx County, Kings County, New York County, Queens County, Richmond County",New York city,11365,40.7396342,-73.7944896,6471747,46201
14445,7875,3983,3892,33.5,6653,437,38,390,35,11,311,7485,4,3397,50259,27974,3598,782,26.6,4378,786,172,59,904,1028,850,212,308,59,75515,156,125,172,219,175,156,210,257,217,309,440,409,245,127,120,60,4600,195,1603,4803,1627,4,0,300,105,350,273,7835,973,0.3919,Monroe County,East Rochester village,14445,43.1130617,-77.4903061,4908840,19992
12918,2208,1109,1099,43.2,2043,19,20,73,39,0,14,2135,0,885,63648,28581,1047,593,26.3,963,108,49,17,54,250,98,76,181,130,,10,16,45,11,47,9,54,62,44,107,163,79,119,119,0,0,1054,17,667,1071,384,0,0,160,0,116,14,2208,37,0.3071,Clinton County,Dannemora village,12918,44.7007362,-73.676657,101268442,1075300
13320,2102,988,1114,42,2064,3,6,13,0,0,16,2089,14,833,59297,27568,1152,614,31.9,1029,116,42,73,78,124,283,107,158,48,26300,26,23,29,60,28,59,35,32,33,96,100,140,54,66,36,16,1145,54,481,1199,313,5,3,119,2,76,42,2100,171,0.3711,Otsego County,Cherry Valley village,13320,42.7778052,-74.7407984,199072615,380904
12138,3300,1716,1584,46.4,3151,0,8,113,0,0,28,3187,3,1430,57972,30446,1922,667,26.4,1404,143,207,172,90,114,155,131,153,239,47485,43,91,101,89,50,54,58,35,68,169,162,196,143,78,54,39,1526,57,1096,1583,441,0,3,125,0,148,83,3291,384,0.4028,Rensselaer,Taconic lake,12138,42.7488358,-73.3703787,207893103,1061904
13491,3617,1835,1782,45.2,3505,15,22,32,5,0,38,3585,12,1365,57557,28439,1593,514,21.7,1627,277,105,130,108,157,243,150,324,133,45185,56,42,61,77,112,59,60,62,53,122,157,208,87,90,82,37,1779,60,1145,1839,411,12,0,175,0,202,69,3605,459,0.4107,Herkimer County,West Winfield village,13491,42.8641347,-75.1681327,187383757,125322
14737,4351,2279,2072,44,4157,7,18,104,23,0,42,4247,4,1771,46698,22841,2617,456,30.1,1743,315,74,170,131,96,348,214,289,106,45085,97,115,94,89,175,99,72,99,141,162,196,203,126,34,68,1,1828,139,1515,1967,488,2,2,118,27,309,183,4348,755,0.3888,Cattaraugus County,Franklinville village,14737,42.3290501,-78.4286113,285522810,930916
14903,7584,3925,3659,44,7154,55,150,84,0,0,141,7500,33,3255,57526,38404,3604,626,27.9,3670,1082,97,218,1017,560,222,92,202,180,65535,146,156,201,129,153,129,147,180,149,285,346,431,441,87,95,180,3755,179,2167,3952,1056,33,0,305,19,394,284,7565,667,0.5131,Chemung County,"Elmira Heights village, Elmira city, Horseheads village, Big Flats CDP, West Elmira CDP",14903,42.1316321,-76.871851,54048732,860690
10928,4057,2029,2028,42,2424,641,257,514,8,24,189,3543,35,1760,82500,41836,2005,1178,26.8,2197,675,126,152,515,231,158,30,199,111,44780,46,38,20,28,69,87,82,67,102,108,170,323,162,196,152,110,2201,70,1017,2349,1056,0,0,235,0,91,126,4057,131,0.3795,Orange County,"West Point CDP, Highland Falls village, Fort Montgomery CDP",10928,41.3489701,-73.9984949,14045217,177778
14522,9231,4664,4567,46,8649,66,40,385,7,10,74,8846,44,4054,53259,31457,4323,592,30.6,4467,586,440,184,491,631,665,501,646,323,110195,191,222,152,253,188,371,154,190,168,366,306,704,304,279,106,100,4807,247,2444,5054,1061,44,0,524,39,470,164,9220,1341,0.4464,"Wayne County, Ontario County","Palmyra village, Port Gibson CDP",14522,43.061423,-77.2203993,121240721,260031
11372,61844,30769,31075,40.5,11022,1465,12490,35600,40,126,1015,26244,20849,23814,56383,30059,26057,1348,35.4,31187,701,5440,6787,1787,1380,2221,1999,4338,6534,1286540,1032,1082,1153,1295,1272,1261,1249,1227,1182,1711,2930,2929,1917,1014,1286,1274,32666,1622,17439,34288,11839,1410,19198,1596,308,3315,13115,61421,7407,0.4461,"Bronx County, Kings County, New York County, Queens County, Richmond County",New York city,11372,40.7516751,-73.8836665,1918699,0
12549,11235,5385,5850,41.3,9256,270,194,1241,0,0,274,9994,149,3749,91386,35252,4106,1124,31.5,5181,602,348,827,554,707,856,482,461,344,160115,122,197,64,82,133,79,133,178,90,192,274,530,539,364,412,360,5600,223,3132,5869,2060,0,0,302,165,442,121,11143,674,0.3907,Orange County,Montgomery village,12549,41.5280311,-74.2593647,100510903,1355161
14614,1232,1123,109,28.9,390,626,0,216,0,0,0,1016,0,69,80208,10866,92,1521,19.9,35,17,0,0,0,18,0,0,0,0,,16,0,0,0,0,0,0,0,0,0,17,18,18,0,0,0,53,34,1128,87,65,0,0,0,1147,16,34,149,65,0.2877,Monroe County,Rochester city,14614,43.1574423,-77.6153548,629222,92443
13628,209,91,118,30.8,197,0,0,5,0,0,7,204,0,90,47500,23368,101,843,27.2,86,9,0,0,23,26,8,3,17,0,,15,4,2,7,3,2,4,8,0,7,11,11,8,8,0,0,79,12,53,102,30,0,0,10,0,11,4,207,67,0.4171,Jefferson County,Deferiet village,13628,44.0305415,-75.6823942,477227,125022
13134,208,101,107,41.4,191,0,0,0,0,0,17,208,0,59,76563,22474,69,486,51,77,0,30,0,2,17,10,3,0,15,,0,9,1,0,0,2,0,3,0,0,12,4,25,3,0,0,97,14,63,111,24,0,0,26,0,10,2,208,20,0.2642,"",Syracuse,13134,42.9673679,-75.6846776,213790,0
14783,361,185,176,37.8,170,4,24,0,163,0,0,361,0,125,34205,21734,184,519,21.9,116,13,5,0,15,20,15,3,43,2,,8,8,15,14,6,15,2,5,4,0,28,12,4,0,2,2,116,11,127,127,19,0,0,22,0,22,10,359,86,0.5345,Cattaraugus,Steamburg,14783,42.0821144,-78.8873553,64539044,16636582
