,NAME,x,y
0,Cuming,-96.78740040698291,41.916402825970614
1,Wahkiakum,-123.43346991362158,46.29113381398982
2,De Baca,-104.41195788764709,34.34241351376129
3,Lancaster,-96.68775550699036,40.78417355231893
4,Nuckolls,-98.04718498967358,40.1763796295172
5,Las Piedras,-65.8693174114524,18.187526518210067
6,Minnehaha,-96.79143650837877,43.674178231803786
7,Menard,-99.8206358613257,30.88978200692798
8,Sierra,-120.51599637821043,39.580400101628754
9,Clinton,-85.13601356018083,36.72748162547399
10,Hancock,-83.66653540774313,41.00193837501881
11,Hale,-101.82688130031015,34.070512510224084
12,Clay,-85.86054708406569,33.269085867250446
13,Armstrong,-101.35740433877504,34.964925586159296
14,Allen,-84.10577943232155,40.7715207081494
15,McDuffie,-82.48136836154792,33.482859209882534
16,Sauk,-89.9482166666642,43.426663384646666
17,Stone,-92.15671295358055,35.859865555278056
18,Wallowa,-117.1810200090808,45.579865372937604
19,Beaver,-80.34928778135489,40.68226258588687
20,Jasper,-89.11885982152077,32.0191127391342
21,Henry,-93.79275002979351,38.38516302104081
22,Saguache,-106.281555561785,38.08055275484528
23,Chatham,-79.25527586138011,35.70257212961836
24,Rich,-111.24450979723022,41.63225342579664
25,Adair,-94.6587471509948,35.88394819513814
26,Lake,-81.25093924200141,41.91035213367063
27,Salem,-80.05547504449416,37.286400002093785
28,Montgomery,-80.38721544272137,37.174290752148536
29,Hamilton,-85.16475660847405,35.18087551833664
30,Otero,-105.74144255202499,32.613144677066266
31,Catron,-108.40476239881512,33.915351886882924
32,Marengo,-87.78951929441955,32.24761341223299
33,Lincoln,-110.6559472765897,42.26380161913429
34,Barton,-94.34711077469835,37.50230058329685
35,Calhoun,-96.61507367330576,28.43910926855146
36,Poquoson,-76.27056237762226,37.15026972081599
37,Pocahontas,-80.00775249760441,38.33179534201178
38,Clay,-98.208503304658,33.785531038823045
39,James City,-76.77380008980538,37.31330530003083
40,Keith,-101.66135122725427,41.19879315739922
41,Phelps,-99.41454289418436,40.51111305439078
42,Calcasieu,-93.35794516161384,30.22922390034364
43,Union,-92.37480557489222,32.831888498550605
44,Sequoyah,-94.75522550501387,35.49534387161
45,DeKalb,-85.80414264358548,34.45977295567399
46,Steuben,-77.3838032542787,42.267809004974985
47,Forest,-79.23601184337988,41.51307243625308
48,Tangipahoa,-90.40568052665093,30.62665232141743
49,Stafford,-77.4574003866442,38.42071901907887
50,Menominee,-87.50968400205628,45.525121357083165
51,Jasper,-87.11612124188164,41.02299830455529
52,Brantley,-81.98189557450337,31.19687614264417
53,Lamar,-84.13946266218156,33.076535759883626
54,Steuben,-85.00076485401749,41.6438678778849
55,Orange,-93.89389811036423,30.121308296588868
56,Fayette,-83.45609727847864,39.559883003284824
57,Hampshire,-72.66378448529025,42.340152967270704
58,Allen,-86.19041866932974,36.75131655337193
59,Alamance,-79.39942481752256,36.043709876554495
60,Greenwood,-96.2326356698018,37.877787563760464
61,Suffolk,-70.9856096696628,42.348689392479464
62,Jefferson,-112.3113024608996,43.82013245348627
63,Gonzales,-97.49252375446328,29.456733334113068
64,Marion,-85.62199243637203,35.12933274816757
65,Alpena,-83.16520109121838,45.031107506889136
66,Wayne,-84.82863119897115,36.80126523969394
67,White,-85.45517717980266,35.92634842898267
68,Fannin,-96.10682768282386,33.593809795790555
69,Doniphan,-95.14679424313464,39.78808061286977
